,date,ntweet
0,2020-09-15,56
1,2020-09-16,56
2,2020-09-17,15
3,2020-09-18,16
4,2020-09-19,2
5,2020-09-20,2
6,2020-09-21,3
7,2020-09-22,3
8,2020-09-23,3
9,2020-09-24,2
10,2020-09-25,3
11,2020-09-26,1
12,2020-09-27,2
13,2020-09-28,1
14,2020-09-29,2
15,2020-09-30,4
16,2020-10-01,1
17,2020-10-02,3
18,2020-10-03,2
19,2020-10-04,1
20,2020-10-05,3
21,2020-10-06,2
22,2020-10-07,0
23,2020-10-08,1
24,2020-10-09,3
25,2020-10-10,0
26,2020-10-11,1
27,2020-10-12,2
28,2020-10-13,0
29,2020-10-14,2
30,2020-10-15,1
31,2020-10-16,8
32,2020-10-17,2
33,2020-10-18,5
34,2020-10-19,14
35,2020-10-20,9
36,2020-10-21,7
37,2020-10-22,1
38,2020-10-23,11
39,2020-10-24,3
40,2020-10-25,3
41,2020-10-26,1
42,2020-10-27,4
43,2020-10-28,2
44,2020-10-29,3
45,2020-10-30,1
46,2020-10-31,3
47,2020-11-01,2
48,2020-11-02,2
49,2020-11-03,3
50,2020-11-04,2
51,2020-11-05,0
52,2020-11-06,3
53,2020-11-07,0
54,2020-11-08,1
55,2020-11-09,2
56,2020-11-10,1
57,2020-11-11,2
58,2020-11-12,1
59,2020-11-13,2
60,2020-11-14,2
61,2020-11-15,0
62,2020-11-16,0
63,2020-11-17,1
64,2020-11-18,6
65,2020-11-19,2
66,2020-11-20,1
67,2020-11-21,1
68,2020-11-22,5
69,2020-11-23,1
70,2020-11-24,2
71,2020-11-25,2
72,2020-11-26,5
73,2020-11-27,6
74,2020-11-28,2
75,2020-11-29,0
76,2020-11-30,3
77,2020-12-01,6
78,2020-12-02,5
79,2020-12-03,3
80,2020-12-04,3
81,2020-12-05,0
82,2020-12-06,1
83,2020-12-07,0
84,2020-12-08,4
85,2020-12-09,3
86,2020-12-10,3
87,2020-12-11,8
88,2020-12-12,1
89,2020-12-13,3
90,2020-12-14,6
91,2020-12-15,4
92,2020-12-16,0
93,2020-12-17,5
94,2020-12-18,1
95,2020-12-19,5
96,2020-12-20,3
97,2020-12-21,5
98,2020-12-22,14
99,2020-12-23,3
100,2020-12-24,3
101,2020-12-25,5
102,2020-12-26,1
103,2020-12-27,4
104,2020-12-28,4
105,2020-12-29,5
106,2020-12-30,1
107,2020-12-31,4
108,2021-01-01,1
109,2021-01-02,0
110,2021-01-03,1
111,2021-01-04,3
112,2021-01-05,4
113,2021-01-06,5
114,2021-01-07,0
115,2021-01-08,1
116,2021-01-09,0
117,2021-01-10,1
118,2021-01-11,0
119,2021-01-12,1
120,2021-01-13,6
121,2021-01-14,5
122,2021-01-15,2
123,2021-01-16,4
124,2021-01-17,1
125,2021-01-18,1
126,2021-01-19,1
127,2021-01-20,5
128,2021-01-21,0
129,2021-01-22,0
130,2021-01-23,0
131,2021-01-24,1
132,2021-01-25,0
133,2021-01-26,0
134,2021-01-27,1
135,2021-01-28,2
136,2021-01-29,2
137,2021-01-30,2
138,2021-01-31,0
139,2021-02-01,6
140,2021-02-02,0
141,2021-02-03,3
142,2021-02-04,4
143,2021-02-05,0
144,2021-02-06,1
145,2021-02-07,1
146,2021-02-08,3
147,2021-02-09,1
148,2021-02-10,0
149,2021-02-11,0
150,2021-02-12,2
151,2021-02-13,0
152,2021-02-14,1
153,2021-02-15,3
154,2021-02-16,1
155,2021-02-17,1
156,2021-02-18,2
157,2021-02-19,3
158,2021-02-20,0
159,2021-02-21,0
160,2021-02-22,0
161,2021-02-23,1
162,2021-02-24,2
163,2021-02-25,2
164,2021-02-26,2
165,2021-02-27,0
166,2021-02-28,0
