,date,ntweet
0,2021-02-28,0
1,2021-02-27,0
2,2021-02-26,2
3,2021-02-25,2
4,2021-02-24,2
5,2021-02-23,1
6,2021-02-22,0
7,2021-02-21,0
8,2021-02-20,0
9,2021-02-19,3
10,2021-02-18,2
11,2021-02-17,1
12,2021-02-16,1
13,2021-02-15,3
14,2021-02-14,1
15,2021-02-13,0
16,2021-02-12,2
17,2021-02-11,0
18,2021-02-10,0
19,2021-02-09,1
20,2021-02-08,3
21,2021-02-07,1
22,2021-02-06,1
23,2021-02-05,0
24,2021-02-04,4
25,2021-02-03,3
26,2021-02-02,0
27,2021-02-01,6
28,2021-01-31,0
29,2021-01-30,2
30,2021-01-29,2
31,2021-01-28,2
32,2021-01-27,1
33,2021-01-26,0
34,2021-01-25,0
35,2021-01-24,1
36,2021-01-23,0
37,2021-01-22,0
38,2021-01-21,0
39,2021-01-20,5
40,2021-01-19,1
41,2021-01-18,1
42,2021-01-17,1
43,2021-01-16,4
44,2021-01-15,2
45,2021-01-14,5
46,2021-01-13,6
47,2021-01-12,1
48,2021-01-11,0
49,2021-01-10,1
50,2021-01-09,0
51,2021-01-08,1
52,2021-01-07,0
53,2021-01-06,5
54,2021-01-05,4
55,2021-01-04,3
56,2021-01-03,1
57,2021-01-02,0
58,2021-01-01,1
59,2020-12-31,4
60,2020-12-30,1
61,2020-12-29,5
62,2020-12-28,4
63,2020-12-27,4
64,2020-12-26,1
65,2020-12-25,5
66,2020-12-24,3
67,2020-12-23,3
68,2020-12-22,14
69,2020-12-21,5
70,2020-12-20,3
71,2020-12-19,5
72,2020-12-18,1
73,2020-12-17,5
74,2020-12-16,0
75,2020-12-15,4
76,2020-12-14,6
77,2020-12-13,3
78,2020-12-12,1
79,2020-12-11,8
80,2020-12-10,3
81,2020-12-09,3
82,2020-12-08,4
83,2020-12-07,0
84,2020-12-06,1
85,2020-12-05,0
86,2020-12-04,3
87,2020-12-03,3
88,2020-12-02,5
89,2020-12-01,6
90,2020-11-30,3
91,2020-11-29,0
92,2020-11-28,2
93,2020-11-27,6
94,2020-11-26,5
95,2020-11-25,2
96,2020-11-24,2
97,2020-11-23,1
98,2020-11-22,5
99,2020-11-21,1
100,2020-11-20,1
101,2020-11-19,2
102,2020-11-18,6
103,2020-11-17,1
104,2020-11-16,0
105,2020-11-15,0
106,2020-11-14,2
107,2020-11-13,2
108,2020-11-12,1
109,2020-11-11,2
110,2020-11-10,1
111,2020-11-09,2
112,2020-11-08,1
113,2020-11-07,0
114,2020-11-06,3
115,2020-11-05,0
116,2020-11-04,2
117,2020-11-03,3
118,2020-11-02,2
119,2020-11-01,2
120,2020-10-31,3
121,2020-10-30,1
122,2020-10-29,3
123,2020-10-28,2
124,2020-10-27,4
125,2020-10-26,1
126,2020-10-25,3
127,2020-10-24,3
128,2020-10-23,11
129,2020-10-22,1
130,2020-10-21,7
131,2020-10-20,9
132,2020-10-19,14
133,2020-10-18,5
134,2020-10-17,2
135,2020-10-16,8
136,2020-10-15,1
137,2020-10-14,2
138,2020-10-13,0
139,2020-10-12,2
140,2020-10-11,1
141,2020-10-10,0
142,2020-10-09,3
143,2020-10-08,1
144,2020-10-07,0
145,2020-10-06,2
146,2020-10-05,3
147,2020-10-04,1
148,2020-10-03,2
149,2020-10-02,3
150,2020-10-01,1
151,2020-09-30,4
152,2020-09-29,2
153,2020-09-28,1
154,2020-09-27,2
155,2020-09-26,1
156,2020-09-25,3
157,2020-09-24,2
158,2020-09-23,3
159,2020-09-22,3
160,2020-09-21,3
161,2020-09-20,2
162,2020-09-19,2
163,2020-09-18,16
164,2020-09-17,15
165,2020-09-16,56
166,2020-09-15,56
